name,rating,review,duration
abbeytouchette, 5 stars ,"Pastor Carl is a wonderful, God fearing man, who preaches the Bible. His knowledge, passion and love of Jesus will help you in your understandings of God and His plans for all of us.",2 years ago
Caleb Maltby (Themeridian), 5 stars ,"A great little church that desires nothing less than the proclamation of the Whole Council of God. Wonderful, heart-warming fellowship to be found here!",a year ago
Just Heike, 5 stars ,Great place to worship,a year ago
